item_name,is_expense,quantity,sum_of_one
Туалетные принадлежности,TRUE,1000,50
Билеты на кино, TRUE, 400, 250
Продажа фотографий, FALSE, 300, 18
Мягкие игрушки, TRUE, 800, 100
Попкорн,TRUE,2000,12
Продажа билетов на аттракционы,FALSE,18000,60
Выставка ретро-техники, TRUE, 5, 900000
Продажа украшений, FALSE, 400, 30
Аттракцион для малышей, TRUE, 25, 20000
Карусель,TRUE,8,500000
Сухие завтраки, TRUE, 250, 90
Продажа мороженного, FALSE, 3000, 18
Фейерверки,TRUE,20,30000
Батуты,TRUE,500,20
Автоматы с мороженным, TRUE, 12, 22000
Автографы знаменитостей, TRUE, 10, 5000
Коврики для пикника, TRUE, 120, 250
