item_name,is_expense,quantity,sum_of_one
Фейерверки,TRUE,30,25000
Продажа украшений, FALSE, 700, 35
Услуги гида, TRUE, 40, 4000
Батуты,TRUE,550,25
Продажа фотографий, FALSE, 300, 20
Питание в кафе,TRUE,1600,90
Прокат роликов, TRUE, 120, 600
Туалетные принадлежности,TRUE,900,45
Продажа билетов, FALSE, 70000, 25
Мягкие игрушки, TRUE, 900, 110
Автоматы с мороженным, TRUE, 20, 22000
Бесплатные билеты, TRUE, 20, 0
Попкорн,TRUE,3000,12
Карусель,TRUE,15,550000
Продажа игрушек, FALSE, 2200, 15
Леденцы,TRUE,700,20
Выставка ретро-техники, TRUE, 10, 900000
Реклама парка,TRUE,3,5000000
Автографы знаменитостей, TRUE, 12, 5000
Коврики для пикника, TRUE, 100, 250
