item_name,is_expense,quantity,sum_of_one
Фейерверки,TRUE,30,25000
Продажа украшений, FALSE, 600, 35
Услуги гида, TRUE, 45, 4000
Батуты,TRUE,600,25
Продажа фотографий, FALSE, 400, 20
Питание в кафе,TRUE,1300,85
Прокат роликов, TRUE, 150, 600
Туалетные принадлежности,TRUE,1000,45
Продажа билетов, FALSE, 65000, 25
Мягкие игрушки, TRUE, 950, 110
Автоматы с мороженным, TRUE, 22, 22000
Бесплатные билеты, TRUE, 30, 0
Попкорн,TRUE,2800,12
Карусель,TRUE,12,550000
Продажа игрушек, FALSE, 2200, 15
Леденцы,TRUE,750,20
Выставка ретро-техники, TRUE, 10, 900000
Реклама парка,TRUE,5,5000000
