item_name,is_expense,quantity,sum_of_one
Питание в кафе,TRUE,1800,90
Продажа украшений,FALSE,900,25
Прокат роликов,TRUE,120,550
Автоматы с мороженным,TRUE,15,20000
Услуги гида,TRUE,40,4000
Туалетные принадлежности,TRUE,700,40
Фейерверки,TRUE,10,25000
Продажа мороженного,FALSE,3000,18
Выставка ретро-техники, TRUE, 6, 800000
Батуты,TRUE,600,25
Продажа билетов на аттракционы,FALSE,22000,60
Коврики для пикника, TRUE, 80, 250
Продажа билетов, FALSE, 55000, 25
Мягкие игрушки, TRUE, 1000, 120
Автографы знаменитостей, TRUE, 30, 6000
Бесплатные билеты, TRUE, 20, 0
Попкорн,TRUE,2500,12
Леденцы,TRUE,600,15
Сухие завтраки, TRUE, 350, 80
Реклама парка,TRUE,3,6000000
Карусель,TRUE,8,500000
Продажа игрушек, FALSE, 1800, 15
Услуги фотографа, TRUE, 70, 4500
Аттракцион для малышей, TRUE, 30, 18000
Билеты на кино, TRUE, 350, 200
