item_name,is_expense,quantity,sum_of_one
Услуги фотографа, TRUE, 100, 4500
Питание в кафе,TRUE,1400,85
Автоматы с мороженным, TRUE, 30, 22000
Продажа украшений, FALSE, 800, 30
Коврики для пикника, TRUE, 150, 300
Бесплатные билеты, TRUE, 25, 0
Леденцы,TRUE,500,18
Продажа билетов на аттракционы,FALSE,23000,60
Мягкие игрушки, TRUE, 750, 100
Прокат роликов, TRUE, 130, 600
Туалетные принадлежности,TRUE,850,45
Карусель,TRUE,15,550000
Продажа мороженного, FALSE, 3000, 18
Фейерверки,TRUE,25,30000
Выставка ретро-техники, TRUE, 8, 900000
Продажа игрушек, FALSE, 1900, 12
Сухие завтраки, TRUE, 400, 80
Автографы знаменитостей, TRUE, 10, 5000
Попкорн,TRUE,2700,12
Реклама парка,TRUE,3,5000000
Батуты,TRUE,500,25
