item_name,is_expense,quantity,sum_of_one
Туалетные принадлежности,TRUE,1100,50
Билеты на кино, TRUE, 400, 250
Продажа фотографий, FALSE, 400, 18
Мягкие игрушки, TRUE, 800, 100
Попкорн,TRUE,2200,12
Продажа билетов на аттракционы,FALSE,21000,60
Выставка ретро-техники, TRUE, 8, 900000
Продажа украшений, FALSE, 400, 30
Аттракцион для малышей, TRUE, 20, 20000
Карусель,TRUE,10,500000
Сухие завтраки, TRUE, 250, 90
Продажа мороженного, FALSE, 3200, 18
Фейерверки,TRUE,30,25000
Батуты,TRUE,600,20
Автоматы с мороженным, TRUE, 10, 22000
Автографы знаменитостей, TRUE, 8, 5000
Коврики для пикника, TRUE, 120, 250
