item_name,is_expense,quantity,sum_of_one
Услуги фотографа, TRUE, 80, 4500
Питание в кафе,TRUE,1200,80
Автоматы с мороженным, TRUE, 20, 22000
Продажа украшений, FALSE, 700, 30
Коврики для пикника, TRUE, 120, 300
Бесплатные билеты, TRUE, 20, 0
Леденцы,TRUE,400,18
Продажа билетов на аттракционы,FALSE,22000,60
Мягкие игрушки, TRUE, 800, 100
Прокат роликов, TRUE, 150, 550
Туалетные принадлежности,TRUE,1000,45
Карусель,TRUE,10,500000
Продажа мороженного, FALSE, 2800, 15
Фейерверки,TRUE,30,25000
Выставка ретро-техники, TRUE, 5, 900000
Продажа игрушек, FALSE, 2500, 12
Сухие завтраки, TRUE, 300, 80
Билеты на кино, TRUE, 350, 200
Автографы знаменитостей, TRUE, 15, 5000
Попкорн,TRUE,2500,12
Реклама парка,TRUE,2,5000000
Проведение праздников, TRUE, 8, 1200000
