item_name,is_expense,quantity,sum_of_one
Услуги фотографа, TRUE, 90, 4500
Питание в кафе,TRUE,1600,85
Автоматы с мороженным, TRUE, 25, 22000
Продажа украшений, FALSE, 1000, 30
Коврики для пикника, TRUE, 150, 300
Бесплатные билеты, TRUE, 25, 0
Леденцы,TRUE,450,18
Продажа билетов на аттракционы,FALSE,25000,60
Мягкие игрушки, TRUE, 700, 100
Прокат роликов, TRUE, 120, 600
Туалетные принадлежности,TRUE,800,45
Карусель,TRUE,15,550000
Продажа мороженного, FALSE, 3200, 18
Фейерверки,TRUE,35,25000
Выставка ретро-техники, TRUE, 10, 900000
Продажа игрушек, FALSE, 1800, 12
Сухие завтраки, TRUE, 400, 80
Автографы знаменитостей, TRUE, 20, 5000
Попкорн,TRUE,3000,12
Реклама парка,TRUE,2,5000000
Батуты,TRUE,400,25
